City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Cameta,BR,89.06,scattered clouds,-2.2444,-49.4958,Hotel San Juan
1,Bluff,NZ,54.7,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
2,Chinsali,ZM,71.71,moderate rain,-10.5414,32.0816,Mwiluzi Motel Chinsali Ltd
3,Punta Arenas,CL,51.8,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
5,Chaumont,FR,48.0,overcast clouds,48.1167,5.1333,Hôtel Restaurant Des Remparts
10,Saint-Philippe,RE,84.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
12,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
13,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
14,Busselton,AU,60.01,light rain,-33.65,115.3333,Observatory Guest House
16,Chuy,UY,77.11,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
19,Karaj,IR,48.2,overcast clouds,35.8355,51.0103,MarMar Hotel
21,Rikitea,PF,77.41,overcast clouds,-23.1203,-134.9692,Pension Maro'i
22,Isangel,VU,77.76,clear sky,-19.55,169.2667,Volcano Sea View Tree House
24,Lebu,CL,62.19,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
25,Hithadhoo,MV,81.99,overcast clouds,-0.6,73.0833,Scoop Guest House
26,San Policarpo,PH,80.01,broken clouds,12.1791,125.5072,JM Lodge
28,Ushuaia,AR,51.8,scattered clouds,-54.8,-68.3,Albatros Hotel
29,Kaitangata,NZ,50.25,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
32,Banda Aceh,ID,78.94,heavy intensity rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
35,Dubti,ET,80.53,scattered clouds,11.7361,41.0853,degu Shiferaw
36,Hilo,US,61.0,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
37,Poum,NC,79.84,few clouds,-20.2333,164.0167,Gîte kajeon
38,Chirongui,YT,86.0,broken clouds,-12.9319,45.1483,La Villa Mahatsara
39,Mareeba,AU,79.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
40,Geraldton,AU,69.8,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
43,New Norfolk,AU,59.0,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
44,Tuy Hoa,VN,71.46,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
45,Kavaratti,IN,81.0,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
47,Coracora,PE,60.58,overcast clouds,-15.0333,-73.7833,coracora - ayachucho
48,Constitucion,CL,63.75,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
49,Longyan,CN,59.81,broken clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
50,Bredasdorp,ZA,78.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
53,Starkville,US,41.0,overcast clouds,33.4504,-88.8184,Hilton Garden Inn Starkville
54,Airai,TL,61.18,light rain,-8.9266,125.4092,Juvinal Martin
55,Pleasanton,US,46.99,clear sky,37.6624,-121.8747,Four Points by Sheraton Pleasanton
56,Mataura,NZ,49.48,clear sky,-46.1927,168.8643,Ellie's Villa
57,Cape Town,ZA,80.01,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
59,Port-Gentil,GA,84.2,scattered clouds,-0.7193,8.7815,Fengshui Residence
60,Ganzhou,CN,52.07,clear sky,28.8184,115.4327,Laotou Farm Restaurant Hostel
61,Lorengau,PG,81.64,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
62,Faanui,PF,81.23,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
63,Lompoc,US,48.99,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
65,Ciro Marina,IT,60.01,clear sky,39.3732,17.125999999999998,Hotel Miramare
66,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
67,Tomatlan,MX,80.04,overcast clouds,19.9333,-105.25,Norma franco
68,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
69,Sungaipenuh,ID,65.61,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
71,Mmabatho,ZA,66.2,light rain,-25.85,25.6333,Mahikeng Guest Apartments
72,Soverato,IT,64.4,clear sky,38.685,16.5499,Hotel San Domenico
75,Hobart,AU,59.0,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
77,Akyab,MM,68.5,few clouds,20.15,92.9,Hotel Memory
78,Dicabisagan,PH,75.54,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
79,Namatanai,PG,79.48,broken clouds,-3.6667,152.4333,Namatanai Hotel
80,Kapaa,US,59.0,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
83,Makokou,GA,84.2,light rain,0.5738,12.8642,WAMY RESIDENCE HOTEL
84,Labuhan,ID,78.87,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
85,Manzanares,ES,51.01,overcast clouds,38.9991,-3.3699,Parador de Manzanares
