City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Cameta,BR,-2.2444,-49.4958,89.06,53,42,4.07,scattered clouds
1,Bluff,NZ,-46.6,168.3333,54.7,85,6,1.74,clear sky
2,Chinsali,ZM,-10.5414,32.0816,71.71,88,69,2.04,moderate rain
3,Punta Arenas,CL,-53.15,-70.9167,51.8,50,40,18.41,scattered clouds
4,Khatanga,RU,71.9667,102.5,-36.76,78,0,5.28,clear sky
5,Chaumont,FR,48.1167,5.1333,48,93,100,11.01,overcast clouds
6,Qaanaaq,GL,77.484,-69.3632,8.47,88,100,7.81,overcast clouds
7,Severo-Kurilsk,RU,50.6789,156.125,19.58,94,100,16.98,light snow
8,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,90,17.27,snow
9,Upernavik,GL,72.7868,-56.1549,19.63,80,100,6.26,overcast clouds
10,Saint-Philippe,RE,-21.3585,55.7679,84.2,70,75,6.91,light rain
11,Svobodnyy,RU,51.4,128.1333,-19.01,86,23,5.5,few clouds
12,Avarua,CK,-21.2078,-159.775,77,88,20,3.44,light rain
13,Vaini,TO,-21.2,-175.2,77,100,75,4.61,light rain
14,Busselton,AU,-33.65,115.3333,60.01,93,100,3,light rain
15,Albany,US,42.6001,-73.9662,33.01,59,75,8.05,broken clouds
16,Chuy,UY,-33.6971,-53.4616,77.11,54,0,10.02,clear sky
17,Nogales,MX,31.3086,-110.9422,35.6,60,1,4,clear sky
18,Bilibino,RU,68.0546,166.4372,-9.67,83,0,2.42,clear sky
19,Karaj,IR,35.8355,51.0103,48.2,93,90,11.5,overcast clouds
20,Talnakh,RU,69.4865,88.3972,-29.24,76,0,3.56,clear sky
21,Rikitea,PF,-23.1203,-134.9692,77.41,74,100,13.38,overcast clouds
22,Isangel,VU,-19.55,169.2667,77.76,79,0,2.98,clear sky
23,Gayny,RU,60.3071,54.3241,0.99,93,100,10.56,light snow
24,Lebu,CL,-37.6167,-73.65,62.19,79,98,5.88,overcast clouds
25,Hithadhoo,MV,-0.6,73.0833,81.99,76,100,14.41,overcast clouds
